Ano,Jogo,Gênero,Estúdio
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios
2012,Journey,Adventure,Thatgamecompany
2013,The Last of Us,Action-adventure,Naughty Dog
2014,Middle-earth: Shadow of Mordor,Action-adventure,Monolith Productions
2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red
2016,Overwatch,First-person shooter,Blizzard Entertainment
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD
2018,God of War,Action-adventure,Santa Monica Studio
2019,Untitled Goose Game,Puzzle–stealth,House House
2020,Hades,Action role-playing,Supergiant Games
2021,Inscryption,Roguelike deck-building,Daniel Mullins Games
2022,Elden Ring,Action role-playing,FromSoftware
2023,Baldur's Gate 3,Role-playing,Larian Studios
2024,Balatro,Roguelike deck-building,LocalThunk
1983,Jetpac,Shooter,Ultimate
1984,Knight Lore,Action-adventure,Ultimate
1985,Way of the Exploding Fist,Fighting,Beam Software
1986,Gauntlet,Hack-and-slash,Atari Games
1987,Out Run,Racing,Sega
1988,8-bit computers: Operation Wolf,Light gun shooter,Taito
1989,8-bit computers: The Untouchables,Shooter,Ocean Software
1990,8-bit computers: Rick Dangerous 2,Platformer,Core Design
1991,Sonic the Hedgehog,Platformer,Sega
1992,Street Fighter II,Fighting,Capcom
1996/1997,Super Mario 64,Platformer,Nintendo EAD
2002,Grand Theft Auto III,Action-adventure,DMA Design
2003,Grand Theft Auto: Vice City,Action-adventure,Rockstar North
2004,Doom 3,First-person shooter,id Software
2005,Grand Theft Auto: San Andreas,Action-adventure,Rockstar North
2006,The Elder Scrolls IV: Oblivion,Action role-playing,Bethesda Game Studios
2007,Gears of War,Third-person shooter,Epic Games
2008,Call of Duty 4: Modern Warfare,First-person shooter,Infinity Ward
2009,Fallout 3,Action role-playing,Bethesda Game Studios
2010,Mass Effect 2,Action role-playing,BioWare
2011,Portal 2,Puzzle-platformer,Valve
2012,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios
2013,Grand Theft Auto V,Action-adventure,Rockstar North
2014,Dark Souls II,Action role-playing,FromSoftware
2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red
2016,Dark Souls III,Action role-playing,FromSoftware
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD
2018,Fortnite Battle Royale,Battle royale,Epic Games
2019,Resident Evil 2,Survival horror,Capcom
2020,The Last of Us Part II,Action-adventure,Naughty Dog
2021,Resident Evil Village,Survival horror,Capcom
2022,Elden Ring,Action role-playing,FromSoftware
2023,Baldur's Gate 3,Role-playing,Larian Studios
2024,Black Myth: Wukong,Action-adventure,Game Science
1996,Sakura Wars,Tactical role-playing,Overworks
1997,Final Fantasy VII,Role-playing,Square
1998,The Legend of Zelda: Ocarina of Time,Action-adventure,Nintendo EAD
1999,Doko Demo Issyo,Strategy,Sony Computer Entertainment
2000,Phantasy Star Online,Action role-playing,Sonic Team
